,Customer Reviews,Compound Score,Positive Score,Neutral Score,Negative Score
205,"Came here for a lunch date with a girl friend of mine on a weekday and arrived around 12:30PM. So, note to self....don't come during lunch hour when everyone else working in the area is also having a lunch break.i was lucky and got street (metered) parking right outside this place. the restaurant is situated amongst all the DTSA shops and restaurants, but it's small so be sure to keep your eyes open when driving by. there were only 2-3 small tables set outside on the sidewalk and about 4-5 in doors with bar/high chair style seating alongside the wall as well. ÌâåÊthere was a long line when we first arrived because they only have 1 register, 1 person taking the orders who also brought out the foods to the tables. what a hard working guy!i ordered the chicken kebob plate which usually comes with rice, grilled tomatoes and pita bread with spicy hot green sauce, but i substituted the rice for salad. ÌâåÊtotal came out to about $10 (they accept cards). little did i know, my plate was ginormous! they filled the entire plate with the yummy greek salad, grilled tomatoes and chicken kebob which was perfectly seasoned and moist. The food was really delicious! we got lucky and snagged a table outside on a beautiful sunny day. we chatted, laughed, gossiped, and nibbled on our food. would absolutely come back again!",0.9907,0.177,0.789,0.034
206,I had the chicken kebab with Greek salad and it was fabulous. Please keep it in mind that it might ÌâåÊtake a little longer than the average take out place that's because it's all made fresh. I will be back soon to try something else!,0.807,0.175,0.825,0.0
207,"Fantastic. Ordered the Gyro Kebab Wrap with waffle fries and it was one of the best gryros I've ever had. Everything is super fresh, well seasoned and great portion sizes. I will be returning soon!",0.9661,0.423,0.577,0.0
208,Terrible customer service. I ordered a gyro to go with no onions. It arrived with onions and no tomatoes. Lady at the front instead of making it right told me i never said no onions....seriously. I ask them to make it over after waiting she comes back and hands me the wrong order...wtf...then brings me my food finally after waiting for over 25 minutes...get back to the office and there is no taziki sauce on the gyro. Meat is good but no sauce..really ? Will never be back. So rude. Calling me a liar.,-0.959,0.019,0.757,0.224
209,"I came here during my lunch break and had an awesome experience. The owner Rok was welcoming and helped me choose my meal. I'm not too familiar with Mediterranean food lol. I had the falafel plate and my friend had a falafel wrap. It was probably THE BEST Falafel we've ever had, the inside was moist and the outside was crunchy! Definitely coming back to try the rest of the menu. Highly recommend trying this restaurant out!",0.975,0.264,0.736,0.0
210,"5 stars on the Baba. Chargrilled flavor only found when done the right way. Lamb kabob was good not great, 4 stars on that. Grape leafs were ok but missing the lemon and lamb flavor to make them authentic . Falafel was poor and the salad, led leb salad, was the furthest thing from a Arabic salad. Get the right stuff and it's a good meal.",-0.4013,0.104,0.769,0.127
211,"Our second experience with Kebab Place. The first was takeout and the second was dine in. Both five stars. Regarding dine in,the restaurant was very clean and the ambience warm. Rok,the owner,helped us decide what to order. We had a platter that had three proteins (organic chicken, steak, and ground beef), rice, and several sauces. Very generous portions.The meats were marinated to perfection. Best chicken I've had. So fresh, that I swear we were eating on a farm! The sauces were tasty. The pita bread was to die for. Rok informed us that it's made on site. I particularly liked that Rok was comfortable explaining what sauces went with the meats and what went with the rice. He's passionate about his food. An enjoyable time. Rok goes out of his way to make sure his customers are well taken care of. Great dining experience!!! Can't wait to come back!!",0.9884,0.247,0.704,0.048
212,"A beautiful pocket of mediterranean beach vibes in the heart of Santa Ana, California. They served the best koobideh I have ever tasted along with a yummy combination of other meats. I love the atmosphere and the coziness of the place it reminded me of beach trips to Boracay, Philippines and Thailand. Awesome playlist, great and authentic sauces, and the icing on the cake was rose-water rich baklava on the house. What a beautiful experience for a first-timer. Thank you and see you soon!",0.9896,0.35,0.65,0.0
213,"It seems like there was a recent change of management. Menu is twice as expensive and you can tell they are cheating on the food. The rice is always old(smells like socks), the beef was burnt, and the service was bad. Very disappointed. Spent $15 and left hungry. Didn't finish even half my plate. Old management was way better. Should've asked for my money back but the guy at the front looked like he didn't care",-0.3587,0.101,0.78,0.119
214,"Friendly customer service, large portions, nice atmosphere, and the food tasted great. Ran out of koobideh and lamb kabob the two things I wanted.",0.8779,0.336,0.664,0.0
215,"Stopped by last week to pick up some dolma and baklava for a camping trip potluck. Prior to my arrival I phoned the establishment and spoke with Gita who was very sweet in taking down my order and provided some tips on keeping the food/dessert fresh out in the desert. Once I got to kebab place, I was greeted by Gita and a gentleman named Rock (owner) who was speaking very highly of the food and baklava. We discussed the business and the menu and I decided to order the Mediterranean burger so that I could provide an honest Yelp review. The burger was very tasty/juicy and I was given a slice of baklava upon finsihing my meal.The gang at kebab place spoke a big game and needless to say the bakalava was without a doubt some of the best I've ever eaten. My campmates also appluaded the quality of the baklava and I was compelled to leave a positive review!!! Will definitely be seeing Rock and Gita in the near future.",0.9705,0.145,0.837,0.018
216,"This place is great. Delivered to my hotel room, food was delicious! Will definitely eat here the next time I'm in town.",0.8955,0.362,0.638,0.0
217,"Disappointed with the service. I went to eat lunch here a few days ago with a friend. When we both ordered different sizes of the same item, they both came out in the same container. I paid extra for the larger size. I approached the lady behind the counter and she acted like she had no idea. She didnt offer to upgrade. Bad customer service !",-0.5255,0.082,0.788,0.13
218,Jalapeno Mushroom Burger was in a league of its own! The size of the burger and its ability to maintain its juiciness made it unforgettable. The store has a pleasant design and the service is enjoyable - we were treated like family. Definitely will go again,0.9184,0.269,0.731,0.0
219,"The service here was good, the restaurant was clean and well maintained.I had the Chicken Kebab wrap, it was mediocre at best. Chicken was on the bland side and the wrap, for $10, was small.My lady had the Gyro Wrap, which was much better albeit saltier. The gyro meat was good and moist. But still for $12.50 with fries was overpriced. Comparable restaurants such as Doner G, or Pita Hot are under $10 for the same meal. Would not likely come back here, as there are so many better Mediterranean places in Orange County.",0.7964,0.148,0.809,0.043
220,"Rude staff. The meals they make are different than what the menu says it's supposed to come with, and claim their meals don't come with hummus anymore and you have to pay extra, even though the menu says it comes with hummus. Switch and bait and terrible customer service. Don't eat here.",-0.7579,0.0,0.867,0.133
221,"This is for my experience with ordering delivery through Yelp. Here are the reasons why I am giving this place 1 star:1) I placed the order a little after 12 pm for 3 items. food was to be delivered at 1:12 pm, at :1:20 pm I called to get an update and the lady that answers the phone abruptly tells me the driver is on the way. No apologies were given for not having the food delivered on time. I asked when will he arrive? She responded with I don't know m, there's traffic. Great we ordered food for a client and now have to tell him we don't know when his lunch will be here. 2) driver comes a little after 2 pm and I see that there are only 2 boxes, we had ordered 3 items. After inspection I realized they left out a chicken kebab plate. I called the restaurant and the same lady said she can put in another order for the missing item. I'm thinking she must be crazy because it took 2 hours for the food to get here. I said no and told her I wanted my $ back for that missing item and she said to go through Yelp. I went through yelp to get my $ back. 3) I ordered chicken Greek salad and my Greek salad did not come with any dressing. What a terrible experience. I was not given the impression that the restaurant wanted to make things right with me as I have a valid reason to be upset. I'm sitting here writing this email hangry btw.",-0.8429,0.025,0.902,0.073
222,"Poor customer service Apparently the menu thru doordash is different than what they have there at the restaurant. When I tried to order in person what I had ordered thru doordash one week prior, he told me their system was different and that he'd have to charge me for two separate kabobs which came out to $5 extra.. so $20 for one plate! The right thing to do from a customer service standpoint would've been to honor that price shown online. Very disappointing. Won't bother going there again.",-0.3368,0.059,0.867,0.074
223,"Big fan of Kebab Shops in San Diego. So glad a second one opened in Irvine! ÌâåÊAlways great food, especially the tabouli and kale salad. Great service, lots of smiles and clean restrooms. Awesome!",0.9773,0.489,0.511,0.0
224,"If your looking for something healthy and flavorful, this is the spot! Hidden in downtown Santa Ana this quaint spot to eat with indoor and outdoor seating. My husband And I both had the Kevin plate which came with your choice of meat, grilled veggies an option for half salad and half rice. Pitta bread with a side dipping sauce was also provided. The food was fresh and flavorful! The portion size is large and fulfilling. We are already planning to try the grilled salmon kebob next time. ÌâåÊIf your not in the mood for kebobs, they also have burgers and gyros with fries. The customer service is warm and friendly, with family owned vibes. This a great spot to eat and then take a stroll through downtown afterwards.",0.9388,0.115,0.885,0.0
225,"Stopped in here for lunch while on break from the court. ÌâåÊIt's short 5-8 min walk from the courthouse. Employees are friendly, service is great and food is just as good. ÌâåÊChicken kabob was delicious.",0.9186,0.303,0.655,0.041
226,"I am doing jury duty and saw this place close by. It looked good and has some okay reviews so I tried it out.It took them 25 minutes of my hour lunch from order to table. That is the first issue. I had to eat fast to get back in time.The second issue was the price. 20 bucks for one lamb kebob, rice, and really really bad babaganooj. Like the worst I have ever had, that bad. It didn't even have the right texture or taste like eggplant. That brings me to the food. The two stars are because at least the lamb was tasty. But that was all.Totally a rip off, I won't go back.",-0.3797,0.06,0.875,0.065
227,This is my favorite kabob place! I eat dinner here 3-4 nights a week. Well at least I used to. All of a sudden they close at 5!? I don't get off of work til 5! I'm so sad. This place has the best kabob and salad dressing! Sometimes I just buy the hummus and the dressing then I cook at home. I know the place has lots of business during dinner so I can't understand why they would be closing early. Gida is so sweet. She is always gracious and helpful. Please change your hours back to closing later!,0.9586,0.209,0.754,0.036
228,Awesome food made me feel at home!!! Clean cozy environment and wonderful staff with pleasant music:) Gita is a sweetheart! I'm totally coming back!!!,0.9651,0.517,0.483,0.0
229,"I love this place. Very close to my work, so I try to come as often as I can. Staff is always so friendly and they keep checking in with you until the time you leave. I love great customer service, and their food is delicious. My fave thing is their stoner fries.",0.9751,0.35,0.632,0.018
230,Got it delivered from GrubHub and food is really good and flavorful. Portions are good too and they give you all the sauces for each item and extra. Will order from here again soon.,0.7496,0.166,0.834,0.0
231,Receive the food cold on on a Saturday night ... the portions were mediocre definitely. Maybe if the filet steak was warm or hot would have been really good but cold wasn't good at all. Same with the bread would have been awesome if warm or hot.,0.9492,0.307,0.693,0.0
232,"We were here for a quick lunch break. Nice little place and waiter super friendly. ÌâåÊIt looks like a fast food but portion and flavor are good restaurant quality. ÌâåÊA little pricey for fast food but delicious.We will come back again when in the area.Make sure you bring coins for parking in the area. ÌâåÊThe parking spaces in this area are sensored. For example, if yoi tried to park at the space that still had 20 mins left, once their car leaves the sensor will reset the timer.",0.9186,0.158,0.842,0.0
233,I made a special trip to go there at 3:44pm on a Friday and the guy told me they had just closed. Change ur time from 8pm to the real time then??..,0.4696,0.099,0.901,0.0
234,Perfect little restaurant with the best Kebabs!!We were greater by the Gita and Ray and they were so pleasant and gave us awesome recommendations of what to order. I had the steak kebab with white rice and saffron paired with a most delicious house blend cilantro chutney . All finger licking delicious . Definitely a come back !!!,0.9856,0.405,0.595,0.0
235,"This place is good, but the customer service sucks!! the cashier is so rude!!!! I think she might be the owner. She has an attitude and the only reason I keep coming is that I have to pick up my boss's lunch. If not I would rather go to Crave around the corner.",-0.5374,0.037,0.881,0.083
236,"I just got back from NYC, where I ate really well every day, and needed a delicious food fix. I was in the mood for Mediterranean food and happened upon Kebab Place. The food is indeed delicious. The portions are generous and reasonably priced, great sauces, tasty flavors. The service is fast and friendly, Rok the owner is very invested in the business and interested in the restaurant culture in downtown Santa Ana. I highly recommend Kebab Place and will be back. (I meant to take photographs, but I was so hungry and the food looked so good, I just launched into it!!!)",0.9686,0.226,0.774,0.0
237,"Amazing food & service,!!!. I absolutely love this place. The breakfast is just incredible! I almost tried everything they offer and let tell you, if you like Persian/Mediterranean food this is by far the best in Orange County.",0.9528,0.343,0.657,0.0
238,This place is awesome! Great and friendly service. Food is authentic and some of the best Middle Eastern cuisine that I've ever had. So many specialty dishes that are unique and flavorful. The environment is beautiful and very inviting.,0.9732,0.404,0.596,0.0
239,I'm always looking for new places to try different kinds of food but this place is a place that I WILL NEVER CHANGE FOR ANYTHING! Starting with their excellent customer service. The manager is such a nice lady always making sure you feel welcome and treating everyone in such a nice manner that you feel at home. The cooks always with a smile even when I make special requests on food preparation not to mention how nice & clean the place is BUT mainly: THE FOOD!! Delicious and an incredible portion!!! This place is a MUST! I give you all 5 stars and please keep up this excellency!!,0.9944,0.36,0.64,0.0
240,This was awesome. After a day at Disneyland we were too exhausted to go out and Kebab Place was the answer to our prayers. That green cilantro sauce was amazing and the hummus was delectable. The chicken and lamb are tender and oh so flavorful. I like that you can get half salad/half rice.,0.9198,0.228,0.733,0.039
241,Food was fresh and tasy. The owner was very humble and welcoming. Came out with some new friends co-owners rocky and nikki and gitta. Im there all the time now. Awesome place.,0.9129,0.311,0.689,0.0
242,"I came in today at 4pm and ordered the sultan place and the combo place to go. I was disappointed because the grill green peppers was charcoal, over grill and burnt.",-0.4767,0.0,0.9,0.1
243,"I had the gyro kebab plate. ÌâåÊThe sauce that came with the pita was a cilantro garlic spread, and it was terrific. ÌâåÊThe gyro meat was flavorful. ÌâåÊI can feel now that it was salty, since I'm getting thirsty. ÌâåÊThe salad had a nice vinaigrette on it. ÌâåÊI enjoyed my lunch there. With tax, it was just above $10.",0.7003,0.142,0.805,0.053
244,"I came here after being disappointed by the 4th Street Market. I basically just pulled up Yelp and looked for something decently rated and was lucky enough to come across this place. The food was delicious (I got the gyro platter) and the man that worked there was super nice. You order at the counter and then take a seat, but instead of just calling our names out and giving us our food, he took care of it and stopped by often to refill our water and take away our finished plates. The platter comes with a salad and rice, and my friend got the falafel platter which came with fries (and I love fries). It was empty when we came in, probably because this place delivers and I assume most people just get to-go, but it's very nice place that I'm glad I was able to come across.",0.9821,0.2,0.762,0.039
245,"Amazing Service! Used there catering service for my 1 year anniversary of being married and the service was amazing !! Gita the manager seriously went above and beyond and delivered more than Expected. Above all, THE FOOD WAS AMAZINGLY DELICIOUS!! Don't just take my word, go try it yourself! Thank you Gita for taking caring me and my wife on our special day!",0.9717,0.285,0.693,0.021
246,My first time here. ÌâåÊI ordered the sultan platter. ÌâåÊI was blown away. ÌâåÊDelicious- and you can tell they use quality meats and ingredients. ÌâåÊThis is by far my favorite mediterranean restaurant now. ÌâåÊI'll be coming soon and often!,0.5093,0.08,0.92,0.0
247,"This is one of my favorite places to eat! I love Rita, she is so sweet and the food is amazing. I went here for lunch one day and had the Gyro plate. It was so yummy! The price is also very good for what you get! I would definitely come here again!",0.9804,0.379,0.621,0.0
248,"Based on the other good reviews chose to eat here for lunch. GPS took me a to a beer joint across the street. It's a small little spot with one sign out front so might be easy to miss driving by. We ended up ordering the gyro beef plate and falafel plate. The falafel plate was very flavorful. Also the salad that comes with the plate is a small meal in itself. The gyro was a little different than I expected, but was good. It was thinly sliced on a platter with rice. Portion sizes were good, we ended up taking a plate to go since we weren't that hungry to finish both orders. They don't have the garlic butter as some places do but they have a jalapeÌÄå±o cilantro dip that went great with the bread and even for the rice. Well priced for the amount and quality of food Inside the place is small but clean. Would definitely go back again when in the area.",0.9795,0.153,0.84,0.007
249,"This place is a hidden gem. Fresh, delicious food and the portions are sooo generous. Will be coming back for sure!",0.8977,0.426,0.574,0.0
250,THIS PLACE IS big shout-out to GITA!!! She stayed open late just so I can cater food to my family and friends. I'll be coming back this place Forsure,0.6093,0.128,0.872,0.0
251,My first time here. The nice lady At the register greeted and and took the time to go over the menu with me . She recommended the chicken kebab place with rice N pita bread. Omggg the flavor was amazing I was very delighted i will recommend the place to my friends and plan on going back.!!,0.9446,0.298,0.653,0.049
252,I had the chicken kabob plate and it was delicious. My first time ever trying Mediterranean food and can honestly say it was a pretty good first experience. I LOVE warm pita bread and this bread was fantastic. Only downfall is that it takes a while for your food to come out so if you are on your lunch it leaves you a very limited amount of time to eat. Other than that a nice date spot or even if your flying solo.,0.9659,0.264,0.679,0.057
253,The place looks really clean and staff is really friendly. I ordered the lamp gyro with fries and I was not disappointed. It's a small restaurant with a huge charm!,0.9236,0.406,0.594,0.0
254,They had run out of koobideh. So I ordered chicken. I asked her how long and she said ÌâåÊ10 mins. My coworkers got their food and I was still waiting. Went in after 25 mins and asked for my food. They had forgotten my order. I told her if it's not ready I want my money back. No apology no nothing. She just said it's coming. So I get it. Rice is bland. No salt. And it's not fully cooked. Tomatoes in the salad were old. The chicken has no flavor. Would not come back or recommend this place. It's not authentic Persian and it's tiny inside too.,-0.8091,0.033,0.84,0.127
255,I ordered food from here from Eat App. They delivered our food after two hours. The food was really cold. The proportions were so small . I will not order food from here ever again. Very disappointing,-0.5413,0.0,0.904,0.096
256,Tried to order delivery. ÌâåÊThe service couldn't confirm my order. ÌâåÊI guess they don't like new customers. ÌâåÊAsked for a refund.,-0.2755,0.0,0.9,0.1
257,"Went there for dinner, walked in nobody was in the restaurant. I guess the owner/guy was sitting on the table, he really didn't even get up for a greeting. Anyhow, service wasn't all that good, said this was our first time here and he made no suggestions etc. During our dinner no follow up visit saying everything ok? Food was good, but service was nowhere to be seen. Don't think I'll return because of the service and music to loud, Im gonna go to Soltani Restaurant instead.",-0.2973,0.038,0.888,0.074
258,"This place was great! ÌâåÊDelivered to old town Tustin and the food was delicious! ÌâåÊBeef kebab was tasty, gyro was awesome and the fries were crisp... even after the delivery drive. I loved my dolme but it was a little small... this will definitely be my go to delivery in the future. ÌâåÊThanks Kebab Place crew!",0.9235,0.226,0.774,0.0
259,Horrible communication with I phoned in the order togo with a lady. ÌâåÊThere was definitely a language barrier. ÌâåÊI asked for a salmon platter family size for 3-5 people $43 and also confirmed over the phone. ÌâåÊShe said yes. ÌâåÊThen when I picked up my order she charged me over $61 vs $43. ÌâåÊShe said I order the 5-7 people one which was not accurate. ÌâåÊWorst experience ever. ÌâåÊShe was not friend at all. ÌâåÊMy first and last time going there. ÌâåÊI should have not purchased and walked away. ÌâåÊI was ripped off. ÌâåÊI will not be returning. ÌâåÊThe amount of salmon I was given was very small. ÌâåÊIt would not have feed more then 4 people. ÌâåÊThe food was mediocre. ÌâåÊI was very disappointed.,-0.7522,0.042,0.858,0.1
260,"I just checked this place out for the first time today. My girlfriend is off to work so I decided to explore some of the food options. This place is great. It has a warm atmosphere and the menu is super easy to read with a lot of good, traditional Arab dishes. Starter:They hit me with some pita bread and their house sauce. It's almost like a chimichurri, but with a little more bite to it. Really good. Pita bread was hot as fuck too which was appreciated. Appetizer:I had the falafel and wasn't too thrilled about it. It's not your usual ball shape, bite more cone like. I like my falafel crispy and light on the inside. This kinda lacked in both categories for me. Main:I had the chicken kebab. This was delicious and definitely recommended. The chicken was tender and juicy. The seasoning was on point and they gave me a boatload of rice. Being Asian there's really never enough rice. Spot is great. Definitely coming back. The guys here do a top notch job. Supporting small places like this is a must. Try them out.",0.9888,0.242,0.691,0.067
261,"This place is a true diamond in the rough. I've eaten at so many Mediterranean spots in SoCal, and while I love the general flavor of it all, I have not found a ""go to"" restaurant until I stumbled upon Kebab Place. My boyfriend and I ordered the special fillet steak wrap, stoner greek fries, and the combo platter. Every meal comes with complimentary pita bread and a cilantro/jalapeno house sauce (both pita and sauce were pure magick). They also gave us complimentary lentil soup which was very hearty as well as tasty. The fillet mignon in the steak wrap was superior. Marinated, tender, excellent portion. The gyro in the stoner greek fries was perhaps the best gyro I've had. It wasn't dry and was very well seasoned. The hummus, babaganouj, and tzatziki dips were all perfection. Dolmades were delish.I have nothing bad to say about this place. Customer service was great. Food came out quickly, but not too quickly. By the taste of the food, you can tell everything is fresh and dedication and thoughtfulness is flowing through that kitchen. The price, I considered moderate on it's face. But once you taste the quality of their meals, it is a bargain for this kind of fresh, well made meal.Any time I am near Main and 4th, I'm stopping by!",0.9853,0.187,0.787,0.026
262,The food was delicious. I literally ate everything in my plate. I wish the chicken kabob plate included 2 kabobs. I did not know it was just one. But that's is my fault for not asking. I would have gladly payed for an extra one. ÌâåÊThe parking is limited but not impossible to find parking. Bring change there are parking meters. It was easy to find with directions from yelp. And is located right across the street from a Starbucks. ÌâåÊThe place is rather small or cozy. I ate outside because it was a bit crowded inside and most tables were taken. But that's not a bad thing as I enjoyed eating outside. I would recommend this place because of the tasty food. But if you are in a rush y oui u should call your order in. I called my order in and it was cooked fresh in about 15 minutes more or less. I was on lunch break from work so calling ahead to place the order was very convenient. The service was friendly and prices reasonable considering the freshness and the taste. I would visit again if I'm ever in the area.,0.9749,0.147,0.824,0.029
263,NEVER EAT AT THIS LOACTION!!!! The lady in the front is very rude and she tries to rip of the customers. The food over all wasn't so great as if it was left overs from the day before.,-0.8625,0.0,0.807,0.193
264,"Great simple place to eat in Santa Ana! First visit, delicious chicken kabob (and I know kabob, look at my name). Chicken was juicy, the rice blends right in, and the salad was fresh. Clean indoor seating and outdoor curbside seating in the shade as well. Friendly, personal, and fast service by the owner himself. Will be back soon to try other menu items!",0.9564,0.247,0.753,0.0
265,Amazing lunch spot with super great staff. I got the Sultani tray breakfast and it honestly was wonderful. The food is the right price and they have never skimped on anything I've gotten. I can't wait to back!,0.9628,0.377,0.623,0.0
266,"This is a semi Americanized but authentic Middle Eastern place.Price is good, chicken is good, curry fries are excellent (American)and service is good too!",0.9577,0.471,0.529,0.0
267,"Food is delicious. Family meals are a great deal! Thank you for your fast and friendly service and delicious food. Must haves include hummus and chicken kebabs!! Salad is fresh and the vinaigrette is soooo good!! Take out family meals come in large platters with plates, utensils and serving utensils!",0.9737,0.359,0.641,0.0
268,I have been here twice already and I love it !! I'm a big fan of Mediterranean food and I can't get enough of it !! They give you a complementary side of soup .. their lentil soup is the best ... love it ....love it ...love it !!!! I had the combo appetizer plater and it's just so delicious :-).. the chicken kebab plate is tasty and filling !! Definitely my favorite restaurant yet !,0.9809,0.3,0.7,0.0
269,"Wow! The best Greek treasure in DTSA! Service is spectacular, The Food is delicious!Can't wait to bring family, and friends,& even buy gift cards for clients! I'm even happier to enjoy my walk back to my officeget fit and eat healthy 2017 here we come!!!",0.9778,0.413,0.587,0.0
270,Service was good/fast and the falafel was great/delicious. You could tell it was homemade and fresh. Perfect crunchy texture on the outside and soft on the inside and it was not drenched in oil or sauce. ÌâåÊI'd come back to try the chicken kabob which looked delectable My friend got the fries with steak and said it was scrumptious.,0.9451,0.231,0.769,0.0
271,"Family owned and operated Mediterranean spot in DTSA. My girlfriend absolutely loves this place, wait time is about 10-20 minutes. The food is always fresh and portioned greatly. Customer service can be dry by the food makes up for it.",0.7425,0.142,0.858,0.0
272,"Let me start off by saying WOW! I am so happy that I stopped in and experienced the food here. It was truly something special. The chicken is AMAZING... So tender, flavorful and juicy... AND it's organic! The Gyro was the best I've had. The Baklava was sinfully moist and flavorful and went down well with the in house brewed black tea (with hints of cardamom). This place is awesome.",0.9749,0.288,0.687,0.025
273,"Plenty of seating, the place is clean and the staff is friendly. ÌâåÊTry the Lentil Soup. ÌâåÊNo, seriously... Try the soup! ÌâåÊIt's VERY good!Salad was VERY fresh and super tasty! ÌâåÊA HINT of mint in the vinaigrette! ÌâåÊSalad had dived tomato and cucumber with a hint of onion. ÌâåÊVery authentic!The pita was warm and the hummus was pretty good as well with a dash of paprika. ÌâåÊThe green sauce was VERY good as well!The chicken kebab platter came next. ÌâåÊExcellent chicken (not too spicy) and cocked perfectly. ÌâåÊNOT dry nor burnt! ÌâåÊWell done! ÌâåÊThe rice was also well done and authentic. ÌâåÊA grilled Hot Pepper was served on the site with a grilled tomato garnish. ÌâåÊThe tzakiki sauce is REALLY good!Over all, an excellent experience. ÌâåÊGreat for a date with cozy tables!Loved it!",0.987,0.242,0.736,0.022
274,"Im going to be eating here a lot more often. Food quality is excellent, and my order was ready on time. Plus a good place to eat and walk it off.",0.8442,0.259,0.741,0.0
275,I've been here twice. The first time it was horrible. But for some reason yelp took down my review. I give honest reviews. I'm sorry if you don't like them. I thought ok maybe I'm wrong. I went back today. I'm sorry to say it's just not good food. My family is middle eastern. I know good food.,-0.8374,0.103,0.639,0.258
276,"This is a close by little place that I can get my Mediterranean fix at. I think the chicken kebabs are dry, but my coworkers go ga-ga over it. I recently began the transition to a vegan lifestyle and I was still able to find an option that fit my needs! The falafel is filling, tasty, and vegan! Just be sure to request no feta on your salad. Oh, and the green sauce? That stuff is so good they need to start selling jars of that stuff.",0.8778,0.13,0.84,0.031
277,The food took a very long time to be ready even tho it was only one order. The restaurant staff were on their phone the whole time,0.3612,0.091,0.909,0.0
278,Food is absolutely delicious. The Greek Stoner Fries are the best! Our meal was delivered in a timely fashion and still super fresh. Will definitely be eating from this establishment again soon.,0.9544,0.401,0.599,0.0
279,"A great place to go for lunch. The place is clean, the staff is friendly, and the food is delicious with generous portions. I even happened to go on a day they served complimentary lentil soup. Score! Plus that special green sauce they serve with the pita bread is amazing!!",0.9747,0.397,0.553,0.05
280,Like to have the chicken with rice for lunch. ÌâåÊMY only complaint is I think its a little over priced for lunch. ÌâåÊAlmost 20 with a drink. ÌâåÊFood is good but price is not so good.,0.714,0.198,0.76,0.042
281,"I had jury duty, and this place is walking distance from the courthouse. The location was hard to find. The sign is small and kind of hidden. Google maps actually took me across the street. They were giving away samples of chicken potato salad. It was good. I ordered the chicken kabob with salad instead of rice. He offered me a no carb special with no rice, pita, or sauce. I wanted the pita and sauce so I declined. The chicken was juicy. The sauce was not tzatziki but still good. I would return.",0.3716,0.096,0.813,0.091
282,"I serious don't know why this place isn't packed! Chicken Kabob, hummus, stoner fries were so amazing. The start you off with some nice warm pita and a really great spicy green sauce for dipping. Plus the dude really works hard to earn your business. Excellent service!!!",0.9377,0.303,0.595,0.103
283,What a gem! Thank you for coming to DTSA!I stepped out of my salon to have lunch and didn't want to frequent my usual spots Crave or Cafe Calacas (both are wonderful !) so I kept walking down 4th and walked past this spot but made a u-turn straight into this spot!I believe I met the owner who was very nice and charming. The staff and their customer service was great. I ordered a lamb Kebab... I typically don't eat meat...but I love how light lamb is. The plate was very big and my lamb kebab was fresh and savory. The Basmati rice was perfectly cooked. I recommend sharing the plates!They have a variety of different things on their menu. I snagged a few menus to take back with me to my studio. My clients will love the quality of freshness from this great spot!I will be back and I have been spreading the word so hopefully they are here to stay!,0.9917,0.254,0.693,0.053
284,"5 Stars isn't even enough. It's one of those whole in the wall restaurants that you want to spend all day at. Super cute decorations and a very clean restaurant. The staff is so nice and friendly. Then there's the food which is to dieeeee for. The stoner fries and the greek burger = AMAZING. The gyro here is the best I have ever had, its thin meat and you can taste the freshness. I have literally come at least 20 times in the past month. My favorite place ever!!!",0.9847,0.289,0.711,0.0
285,"Went to this little spot last night. Total hidden gem. Felt like I was at home with family. Gita upfront is incredible. Menu advice, sincere service and personality is spot on. I'll definitely be back.",0.7845,0.203,0.797,0.0
286,"It might be a tad pricey, ÌâåÊbut I left full. ÌâåÊ The chicken flavor was phenomenal. Kicks the crap out of chains like Daphnese... nice little starter salad, ÌâåÊgreat dressing, ÌâåÊpita bread, ÌâåÊsubstantial rice with good portion of chicken.",0.6808,0.187,0.753,0.059
287,"Great chicken Kebabs for someone who wants them they way they like them. Get them spicy or not, your choice of meat . Staff is very nice and friendly. Great place to have a quick Medirranean lunch. Rice is part of the options, also very very good.",0.9671,0.347,0.653,0.0
288,This little gem is a must!!! ÌâåÊThe food was excellent!! ÌâåÊOne of the best middle eastern places I've had the pleasure of finding. ÌâåÊTo top it off....service was so welcoming. ÌâåÊA definite come back!!!,0.9669,0.434,0.566,0.0
289,"Awesome food, awesome service and super friendly staff. I would recommend this place to everyone. Please visit",0.9643,0.668,0.332,0.0
290,"I placed a rather last minute catering order for 20+ people, the order arrived late but the food was so good no one was upset. The beef kabob is tender and has excellent flavor. Family platters are reasonably priced. Great value for the high quality, fresh ingredients. I will definitely order from here again.",0.9674,0.339,0.573,0.088
291,This place is so yummy! ÌâåÊI highly recommend it! I stumbled upon this place about a week ago and I'm so glad that I did!,0.917,0.385,0.615,0.0
292,"I had the pleasure of serving on a jury at the courthouse for a few days, so I came here for lunch with a few other jurors. It's about a 10 minute walk from the courthouse and it's a nice easy walk...we all got fresh air. It's mostly middle eastern style food...reminds me of the Grill Hut but a hipper, cooler version. I had the gyros wrap and it was amazing! It had so much meat on it and the meat had perfect flavor. ÌâåÊIt was a large portion too.....I was really full afterward!Some of my lunch partners had the kabob plate and it was a kabob, rice, and salad and they said it was great too. We were able to walk here, order, eat, and make it back on time with 10 mins to spare. If you are in jury duty, I recommend walking here for lunch....it beats the court cafeteria by far!! I don't come to downtown Santa Ana much but if I do and need to eat lunch, I'll come back here!",0.9821,0.155,0.845,0.0
